petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
e8abe405,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d87988ef,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23cf6a97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1aa2b567,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
a0dc5fed,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7222533f,2,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
ad6ecbac,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8e9602e4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cba87b87,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5014cb15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72ac6b20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56db5811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d805ee0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ff5bf0c9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
d61fb559,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f072437,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
96b994b1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
7535e18f,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93f8c058,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69e772f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4647b224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
babe8151,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
c441c495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035c964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0084939c,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
076d44ed,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
88ea92cf,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a4830418,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63f956ae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3a99b420,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cf57517b,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
372ed528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2f98c6c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
cb050108,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0dc8c485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ff43b731,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
f950b244,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d570d1ac,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1344de5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7c74ac59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
c58f680b,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439e49ca,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
574e7522,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
e081e996,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
e8c438d6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e6dfb170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
b0db2c7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a901acdb,1,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
8a45647f,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
355cbd99,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cb0a9567,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eecc2c53,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
940bc0a6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
c0dd3dbc,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2f2f8b00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3f2cb0a,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690e3919,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f99f8207,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
cde18370,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0fc4db98,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ea578717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55e7631b,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d47aca0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3c352b67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c184505,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18e6b324,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bb823af6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623e51ca,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33601264,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
d7af887e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b6badf3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
cee25085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d4f60ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
f40d7627,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c9fdb7eb,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a1d0479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
131d4bd3,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
81296d5c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4fad7420,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e337659a,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11e3676d,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ef56c2cb,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78233263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c48f1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cf56940a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8d4a21c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24a9d550,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
049a8545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dc9cc5e0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14764606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
63e40065,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
7a20bcae,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a5ec89a2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dc4b10c6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48a0d134,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aa52eed8,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1a57a465,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5e6051e5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07e70abc,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
bdc50201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63d7349c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9319f86c,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4fac321b,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
be92dd5e,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
220221a8,2,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
dd15d79d,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
523a75b5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690f8886,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9332a643,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ea2d3ea7,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
f3de1af2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6f29d36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbee2bc2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30787b8e,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16c669ab,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d9d6948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aed195b6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0c8420e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bd82b509,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
023b0f2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39ef0a0d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
acc5be15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adc9f6ea,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
0f68d62f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
e2435d15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30b21a9f,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
a4de5ff1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
f7007eab,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9dc1ab22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
06dc16a9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45ee0532,2,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,1,0,0
5ff86954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71d73f4f,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c7b1add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44baf2c0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
c351c821,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7cf9eb56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84890e97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
b9fbc6c1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3d6230ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b542bac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb5b6f7c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238f8b3f,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
7df8f3da,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
d32990e4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
f47614eb,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358de57,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
f56e07a0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6522c681,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172c7351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15a610e1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1c01d71c,0,2,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
1707828d,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ce2eaeb7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e314f7db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e6f2d92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
c73c28a6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
0bef75d5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51fa9e7f,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b06a0bf,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
a9c365cf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5661e126,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c622c87,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
06c711b6,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
243a9a05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11489971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
d8b566d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d50adaa,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3fcbc04a,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
309447a6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2b611211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c38ebf43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
17f3f472,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
f2860b2c,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7f388b85,0,1,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
d2095e66,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
15e80e2d,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ea06f367,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
583dca2c,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
9fa118f9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0529ca69,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
