petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
fc91ed7f,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
d60bbc4b,0,0,1,0,0,0,0,1,0,4,0,0,0,5,0,0,0,0,0,0
73d35196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
d3d2f364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19cfd954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cce1b5a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
f962e233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5870c077,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef0dcef3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7a68edb9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5f392c56,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5dac6bcc,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7162943d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26b15efe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d58e4064,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
95a0e06a,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
a2211a1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194ab7de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020c2b65,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3f69aea6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66599579,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0
2d2f881b,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
